Albañilería;;;;
;61.01;Picado en techo o paramentos con escayola o enlucido M2 - A100;14,07;;
;61.02;Picado en paramentos verticales con alicatado o enfoscados de mortero M2 - A120;14,07;;
;61.03;Picado en suelos con gres o terrazo o similares M2 - A130;10,35;;
;61.04;Picado en suelos de hormigón (patios, garajes, etc.) M2 - A140;15,98;;
;61.05.1;Tapar en techo incluyendo acabado o tapar en paramentos verticales con enlucido o alicatado con azulejo aportado por asegurado M2 - A151;68,31;;
;61.05.2;Tapar en techo incluyendo acabado o tapar en paramentos verticales con enlucido o alicatado con azulejo aportado por asegurado M2  adicional- A152;47,23;;
;61.06.1;Tapar en paramentos verticales con alicatado M2 - A190;80,40;;
;61.06.2;Tapar en paramentos verticales con alicatado 1/2 M2  adicional- A200;56,66;;
;61.06.3;Tapar en paramentos verticales con alicatado M2  adicional- A201;59,78;;
;61.07.1;Tapar hueco en suelo con solado, parte proporcional de rodapié incluida hasta 1/2 M2 - A210;51,31;;
;61.07.2;Tapar hueco en suelo con solado, parte proporcional de rodapié incluida hasta  1 M2 - A211;71,35;;
;61.07.3;Tapar hueco en suelo con solado, parte proporcional de rodapié incluida 1/2 M2 adicional;38,79;;
;61.07.4;Tapar hueco en suelo con solado, parte proporcional de rodapié incluida 1 M2 adicional;52,54;;
;61.08.1;Tapado de cala en hormigón en patios, garajes, viviendas unifamiliares, etc., hasta 20cm. de espesor, SIN terminación hasta 1 M2 - A230;79,38;;
;61.08.2;Tapado de cala en hormigón en patios, garajes, viviendas unifamiliares, etc., hasta 20cm. de espesor, SIN terminación M2 adicional - A240;48,90;;
;61.09.1;Suministro y  colocación de placas prefabricadas hasta 1 M2 - A250;48,24;;
;61.09.2;Suministro y  colocación de placas prefabricadas M2 adicional - A260;32,36;;
;61.10.1;Tapado de Localización avería con aplacado de mármol (no incluye mármol) desde 1M2- A261;58,92;;
;61.10.2;Tapado de Localización avería con aplacado de mármol (no incluye mármol) M2 adicional - A262;34,89;;
;61.11.1;Tapado de Localización avería con solado de mármol (no incluye plaquetas) desde 1M2- A263;58,92;;
;61.11.2;Tapado de Localización avería con solado de mármol (no incluye plaquetas) M2 adicional - A264;38,19;;
;61.12;Alicatado y Solado incluyendo azulejos, baldosas o terrazo M2 - A280;50,14;;
;61.13;Alicatado y Solado sin incluir azulejos, baldosas o terrazo M2 - A300;37,84;;
;61.14;Levantado y colocación de pavimento de sintasol o similar con cordón de sellado M2 - A310;39,14;;
;61.15.1;Solera con cemento para posterior revestimiento (parquet, moqueta) hasta 1 M2 - A320;40,20;;
;61.15.2;Solera con cemento para posterior revestimiento (parquet, moqueta) M2 adicional  - A330;25,12;;
;61.16.1;Picado y tendido de yeso en paramentos verticales y techo hasta 1 M2 - A350;30,79;;
;61.16.2;Picado y tendido de yeso en paramentos verticales y techo M2 adicional  - A351;15,94;;
;61.17.1;Moldura de escayola hasta 1 ML;31,72;;
;61.17.2;Moldura de escayola ML adicional;15,85;;
;61.18.1;Rehacer mocheta en yeso hasta 1 M2 - A380;55,45;;
;61.18.2;Rehacer mocheta en yeso M2 adicional  - A390;48,04;;
;61.19.1;Rehacer mocheta con alicatado hasta 1 M2 - A400;65,09;;
;61.19.2;Rehacer mocheta con alicatado M2 adicional  - A410;46,59;;
;61.20.1;(Suministro y colocación) placa de yeso laminado incluyendo perfilería de acero y placa hasta 1 M2 - A410;65,32;;
;61.20.2;(Suministro y colocación) placa de yeso laminado incluyendo perfilería de acero y placa M2 adicional - A420;45,22;;
;61.21;Viga de escayola hasta 50x30 ml ( i/material) M - A431;70,31;;
;61.22.1;Enfoscado y revestimiento de monocapa desde 1M2- A432;47,13;;
;61.22.2;Enfoscado y revestimiento de monocapa M2 adicional - A433;23,57;;
;61.23;Tabique de ladrillo h/s tomado con mortero de yeso M2 - A434;45,23;;
;61.24;Tabicón o fabrica de ½ pié de ladrillo h/d tomado con mortero de cemento M2 - A435;43,25;;
;61.25;Fabrica de ladrillo macizo perforado de ½ pie o bloque de cemento tomado con mortero de cemento M2 - A436;46,33;;
;61.26;Tapado de roza en suelo o paramento y acabado ml ML - A437;12,06;;
;61.27;Retirada de cerco y recibido de cerco de paso o premarco incluso remates de tabiqueria, yesos, etc. UD -A438;110,50;;
;61.28;Ml peldañeado en gres (tabica y huella) (incluso enlechado y limpieza) no incluye peldaño ML -A439;48,26;;
;61.29;Tarifa por hora de un OFICIAL Hora - APHO;24,57;;
;61.30;Tarifa por hora de un AYUDANTE Hora - APHA;21,86;;
;61.31;Material no recogido en Baremo UD- A888;;;
;61.32;Trabajos no recogidos en Baremo UD- A999;;;
;61.33;Emplastecido techo de Escayola 1/2m2
 1/2M2- A265;3,00;;
;61.34.1;Suministro y colocación de placas Armstrong hasta 1 m2 - A440;56,63;;
;61.34.2;Suministro y colocación de placas Armstrong m2 adicional - A441;21,13;;
;61.35.1;Suministro y colocación de placas de pladur sin perfileria hasta 1 m2 - A442;42,45;;
;61.35.2;Suministro y colocación de placas de pladur sin perfileria m2 adicional - A443;46,84;;
;61.36;Enfoscado de cemento fratasado hasta 1m2;20,09;;
;14.01.01;Kilometraje (sólo ida) 31 Km a 45 Km;21,72;;
;14.01.02;Kilometraje (sólo ida) 46 Km a 60 Km;29,75;;
;14.01.03;Kilometraje (sólo ida) Por Encima 61 Km;0,60;;
;76.03;Facturación única por siniestro y gremio UD-FU;36,74;;
;76.04;Visita sin finalización de trabajos UD Causa ajena Reparador - VINF;25,13;;
;76.09;Visita fallida  UD;24,09;;
Fontanería;;;;
;60.01.1;Localización de avería (Visita) en Hogar - F100;32,33;;
;60.01.2;Localización de avería (Visita) en Comunidades - F110;32,33;;
;60.02.1;Picado en techo con escayola o enlucido 1/2 M2 - F120;4,81;;
;60.02.2;Picado en techo con escayola o enlucido M2 - F121;13,07;;
;60.03.1;Picado en paramentos verticales 1/2 M2 - F130;7,68;;
;60.03.2;Picado en paramentos verticales M2 - F131;14,07;;
;60.04.1;Picado en paramentos verticales con alicatado o enfoscados de mortero 1/2 M2 - F140;7,68;;
;60.04.2;Picado en paramentos verticales con alicatado o enfoscados de mortero M2 - F141;17,09;;
;60.05.1;Picado en suelos con gres o terrazo, hormigón o similares 1/2 M2 - F150;10,76;;
;60.05.2;Picado en suelos con gres o terrazo, hormigón o similares M2 - F151;17,09;;
;60.06;Picado en suelos de hormigón (patios, garajes, etc.) M2 - F160;23,54;;
;60.07;Excavación de zanja M3 - F170;67,62;;
;60.09;Localización fuga con detector de fugas geófono UD - F172;77,22;;
;60.10;Localización fuga con detector de fugas termográfico UD - F173;92,67;;
;60.11;Localización fuga con detector de fugas de gas traza UD - F174;216,22;;
;60.12;Demolición de paramento cualquier textura entre 5 y 12 cms espesor UD - F175;15,98;;
;60.13;Apertura de rozas en paramentos o suelos de cualquier textura para electricidad o agua sanitaria. Se considera hasta un ancho útil de 25 cms UD - F176;9,02;;
;60.14;Reparación de manguetón (desmontaje y montaje de inodoro y tramo de desagüe incluido). UD - F180;90,40;;
;60.15;Reparacion de injerto o desvio de bajante UD - F181;67,64;;
;60.16;Reparación de bote sifónico o desagües UD - F190;59,39;;
;60.17;Reparación de válvula (bañera, lavabo, bidé, fregadero) UD - F200;49,45;;
;60.17.2;Reparación de válvula (bañera, lavabo, bidé, fregadero) UD - acompañado otras reparaciones - F200.1;40,43;;
;60.18.1;Reparacion de tuberia con soldadura o abrazadera tapaporos (GEBO) 1 Unidad - F201;60,26;;
;60.18.2;Reparacion de tuberia con soldadura o abrazadera tapaporos (GEBO) (GEBO) Adicional - F202;37,40;;
;60.18.3;Reparacion de tuberia con soldadura o abrazadera tapaporos (GEBO) Soldadura Adicional - F220;38,34;;
;60.18.4;Reparacion de tuberia con soldadura o abrazadera tapaporos (GEBO) UD - más de 1\" (incluye material) - F220.1;66,93;;
;60.19.1;Sustitución de tubería de distribución o calefacción. Hasta 1 M Hasta 1 M - F270;72,62;;
;60.19.2;Sustitución de tubería de distribución o calefacción. Hasta 1 M Adicionales - F280;26,13;;
;60.20;Sustitución codo o T, incluidos tramos y manguitos UD - F290;71,81;;
;60.21.1;Sustitución de manguetón (desmontaje y montaje de inodoro, incluyendo el tramo de desagüe y modificaciones, si necesario) UD - F300;145,73;;
;60.21.2;Sustitución de manguetón (desmontaje y montaje de inodoro, incluyendo el tramo de desagüe y modificaciones, si necesario) UD de PVC acoplado a desembarco de plomo - F310;126,39;;
;60.22;Sustitución de válvula de bañera/plato de ducha incluyendo tramo de desagüe UD - F320;55,28;;
;60.22.2;Sustitución de válvula de bañera/plato de ducha incluyendo tramo de desagüe UD - Sustitución Válvulas (bide, lavabo y fregadero) incluyendo tramo de hasta 1ml (sin rebosadero) incluye material.;55,28;;
;60.23;Sustitución de válvula de bañera y rebosadero incluyendo tramo de desagüe UD - F330 (con rebosadero);68,63;;
;60.24;Sustitución de bote sifónico (empalmes y soldaduras hasta 5 salidas incluidos) UD - F340;167,15;;
;60.25;Sustitución de sifón UD - F360;40,23;;
;60.26;Sustitución de latiguillo causando daños propios y/o a terceros. SOLO APLICABLE UNA VEZ POR SINIESTRO. UD - F370;20,59;;
;60.27;Sustitución de canalón de PVC. ML - F380;27,71;;
;60.28;Sustitución de canalón de aluminio o zinc o prelacado. ML - F390;33,25;;
;60.29;Sustitución de canalón de cobre. ML- F400;46,55;;
;60.30.1;Sustitución de bajante vista de pluviales Hasta 3 M - F410;126,39;;
;60.30.2;Sustitución de bajante vista de pluviales M adicional - F420;45,17;;
;60.31;Sustitución de inodoro y cisterna (si necesario), bidet, lavabo o fregadero. UD - F430;62,31;;
;60.32.1;Sustitución de plato de ducha. Hasta 80 cm;125,63;;
;60.32.2;Sustitución de plato de ducha. Mas de 80 cm;181,62;;
;60.33;Sustitución de bañera. UD - F450;194,47;;
;60.34;Sustitución de llave y detentor de radiador UD - F460;41,81;;
;60.35;Sustitución de \"T\" o \"Y\" , incluido tramo de tubería comunitaria. Hasta 1 ml UD  Hasta 1 ML;113,26;;
;60.36;Sustitución de \"T\" o \"Y\" DOBLES, incluido tramo de tubería comunitaria. Hasta 1 ml UD  Hasta 1 ML;126,70;;
;60.37.1;Sustitución de tramo de tubería comunitaria. Hasta 3 ML - F490;138,59;;
;60.37.2;Sustitución de tramo de tubería comunitaria. M adicional - F500;31,90;;
;60.38;Sustitución de caldereta o sumidero (incluso remates de terraza e impermeabilización) (incluida caldereta) UD -F501;89,76;;
;60.39;Sustitución de cisterna baja/alta (incluye conexionado y suministro y montaje de mecanismos descarga) UD -F502;36,11;;
;60.40;Desmontaje y montaje de caldera mixta  mural domestica o calentador o acumulador hasta 100 litros UD -F503;145,72;;
;60.41;Sustitución de arqueta hasta 50x50 en PVC (incluye conexión a bajantes y desembarques y tramos) UD -F504;198,67;;
;60.42;Sustitución de codo o soldadura en frío o reparación en bajante UD - F510;64,95;;
;60.42.2;Sustitución de codo o soldadura en frío o reparación en bajante UD - Sustitución de codo de bajante doble -derivación de bajante- (incluye material) - F510.1;90,09;;
