Albañilería;;;;
;ALB_001_001;Precio mano de obra albañil para trabajos no baremados;25,88;;
;ALB_001_002;Precio mano de obra ayudante de albañil para trabajos no baremados;18,31;;
;ALB_024_001;Ayuda de albañil para colocación de plato de ducha y/o bañera;51,75;;
;ALB_024_002;Rehacer mocheta de yeso hasta 1 m2 (servicio mínimo);63,79;;
;ALB_024_003;Rehacer mocheta de yeso (m2 adicional);30,72;;
;ALB_024_004;Rehacer mocheta con alicatado hasta 1 m2 (servicio mínimo);86,54;;
;ALB_024_005;Rehacer mocheta con alicatado (m2 adicional);58,43;;
;ALB_024_006;Solera con cemento para posterior revestimiento de parquet, moqueta etc. hasta 1 m2 (servicio mínimo);49,88;;
;ALB_024_007;Solera con cemento para posterior revestimiento de parquet, moqueta etc. (m2 adicional);25,42;;
;ALB_024_008;Moldura de escayola hasta 3 metros lineales (servicio mínimo);32,86;;
;ALB_024_009;Moldura de escayola (metro lineal adicional);12,44;;
;ALB_024_010;Picado y tendido de yeso (m2);25,58;;
;ALB_024_011;Levantado y colocación de pavimento de sintasol o similar con cordón;47,94;;
;ALB_024_012;Suministro y colocación de placa amstrong o similar hasta 1 m2 (servicio mínimo);69,00;;
;ALB_024_013;Suministro y colocación de placa amstrong o similar (m2 adicional);30,04;;
;ALB_024_015;Enfoscado y revestimiento monocapa de exteriores (primer m2);34,50;;
;ALB_024_016;Enfoscado y revestimiento monocapa de exteriores (m2 adicional);26,45;;
;ALB_024_017;Pasta niveladora de preparación (m2);5,44;;
;ALB_024_019;Pulido y abrillantado de solado (m2);17,25;;
;ALB_024_020;Enlucido de paramento (m2);16,37;;
;ALB_025_001;Incremento por urgencia en trabajos de albañilería;12,94;;
;ALB_036_001;Material de albañilería no baremado;;;
;ALB_044_001;Picado hueco en techo de escayola (m2);10,37;;
;ALB_044_002;Picado hueco en paramentos verticales sin alicatado (m2);12,90;;
;ALB_044_003;Picado hueco en paramentos verticales con alicatado (m2);14,23;;
;ALB_044_004;Picado de paramento de gres, terrazo, etc. (m2);14,89;;
;ALB_044_005;Picado en solera de hormigón en patios y garajes y solera pre-parquet (m2);21,69;;
;ALB_044_006;Picado/tapado con roza en techo/pared pladur sin perfiles (1 metro lineal);25,13;;
;ALB_044_007;Excavación manual de zanja de tierra (m3);57,50;;
;ALB_046_001;Suministro y colocación de placa de Pladur en techo hasta 18 m/m (servicio mínimo hasta 2 m2);103,53;;
;ALB_046_002;Suministro y colocación de placa de Pladur en techo hasta 18 m/m (m2 adicional);48,51;;
;ALB_046_003;Suministro y colocación de placa de Pladur en tabiques hasta 18 m/m (servicio mínimo hasta 2 m2);109,92;;
;ALB_046_004;Suministro y colocación de placa de Pladur en tabiques hasta 18 m/m (m2 adicional);58,34;;
