Albañilería;;;;
;1020;Picado de escayola / pladur incluyendo puntos de agarre y/o perfilería (sólo daños estéticos);8,21;;
;1021;Picado de alicatado (sólo daños estéticos);12,12;;
;1022;Picado de solado (sólo daños estéticos);12,78;;
;1024;Picado en hormigón  hasta 10 cm. de espesor (sólo daños estéticos);18,84;;
;1040;Ud.Picado y tendido de yeso B/N o enfoscado de cemento hasta 1 m2  - Única intervención;35,72;;
;1041;M2.Picado y tendido de yeso B/N o enfoscado de cemento - única intervención m2 adicional;12,24;;
;1042;M2.Picado y tendido de yeso B/N o enfoscado de cemento - acompañado de otra reparación;13,36;;
;1043;Ud.Raspado de superficies de escayola y enlucido de las mismas mediante pasta de escayola hasta1 m2 - Única intervención;29,91;;
;1044;M2.Raspado de superficies de escayola y enlucido de las mismas con pasta de escayola -única intervención m2 adicional;9,36;;
;1045;M2.Raspado de superficies de escayola y enlucido de las mismas con pasta de escayola - acompañado de otra reparación;10,71;;
;1046;Ud.Enfoscado y revestimiento monocapa hasta 1 m2 - Única intervención;45,12;;
;1047;M2.Enfoscado y revestimiento monocapa m2 adicional - única intervención m2 adicional;26,28;;
;1048;M2.Enfoscado y revestimiento monocapa m2 adicional - acompañado de otra reparación;31,40;;
;1060;Tabicar guarneciendo/enluciendo hasta 1m2;55,00;;
;1061;Tabicar guarneciendo/enluciendo m2 adicional;23,02;;
;1062;Tabicar alicatando hasta 1 m2 (no incluye azulejos);60,00;;
;1063;Tabicar alicantando m2 adicional (no incluye azulejos);28,89;;
;1064;Tapado de cala con aplacado de mármol, granito o similar hasta 1 m2 (no incluye plaquetas);28,89;;
;1065;Tapado de cala con aplacado de mármol m2 adicional (no incluye plaquetas);58,65;;
;1066;Tapado con pladur en cualquier espesor (incluye estructura, juntas y tendidos) hasta 1 m2;62,71;;
;1067;Tapado con pladur en cualquier espesor (incluye estructura, juntas y tendidos) m2 adicional;37,30;;
;1080;Tapado con cemento en solera para posterior revestimiento (parquet, sintasol, moqueta, …) hasta 1 m2;42,17;;
;1081;Tapado con cemento en solera para posterior revestimiento (parquet, sintasol, moqueta, …) m2 adicional;22,16;;
;1082;Tapado con solado hasta 1 m2 (no incluye plaquetas);59,55;;
;1083;Tapado con solado m2 adicional (no incluye plaquetas);29,35;;
;1084;Tapado de cala con solado de mármol, granito o similar hasta 1 m2 (no incluye plaquetas);62,71;;
;1085;Tapado de cala con solado de mármol m2 adicional (no incluye plaquetas);39,30;;
;1086;Tapado con hormigón hasta 1 m2;61,46;;
;1087;M2 adicional tapado con hormigón;44,84;;
;1100;Tapado hueco de escayola hasta 1 m2;54,38;;
;1101;M2 adicional tapado hueco de escayola;17,54;;
;1102;Tapado en techo o forjado (incluye enrasillado y tendido de yeso) hasta 1 m2;54,57;;
;1103;Tapado en techo o forjado (incluye enrasillado y tendido de yeso) m2 adicional;24,57;;
;1104;Suminiestro y colocación de falso techo registrable (incluido recibido estructura de soporte) hasta 1 m2;47,03;;
;1105;Suminiestro y colocación de falso techo registrable (incluido recibido estructura de soporte) m2 adicional;27,24;;
;1106;Pladur en techos en cualquier espesor (incluye estructura, juntas y tendidos) hasta 1 m2;57,46;;
;1107;Pladur en techos en cualquier espesor (incluye estructura, juntas y tendidos) m2 adicional;29,13;;
;1120;Moldura de escayola hasta 3 ml;32,67;;
;1121;Ml adicional de moldura de escayola;12,40;;
;1140;Colocación de alicatado - hasta 3 m2 importe/m2;31,98;;
;1141;Colcoción de alicatado - más de 3 m2 importe/m2;26,71;;
;1142;Colocación de solado - hasta 3 m2 importe/m2;33,43;;
;1143;Colcoción de solado - más de 3 m2 importe/m2;27,21;;
;1144;Aplacado de mármol, granito o similar - hasta 3 m2 importe/m2;44,94;;
;1145;Aplacado de mármol, granito o similar - más de 3 m2 importe/m2;37,86;;
;1146;Solado de mármol, granito o similar - hasta 3 m2 importe/m2;44,94;;
;1147;Solado de mármol, granito o similar - más de 3 m2 importe/m2;37,86;;
;1160;Reconstrucción / reparación de arqueta;;;
;1161;Material de albañilería no incluido en baremo;;;
;1162;Reproducción y suministro de material cerámico para evitar daños estéticos;;;
;1163;Gastos de envío de material cerámico;;;
;1164;Visita sin valoración de trabajos;20,63;;
;1165;Tarifa / hora mano de obra de albañilería;22,95;;
;1166;Tarifa / hora mano de obra de ayudante de albañilería;15,75;;
;1;Tarifa / hora mano de obra de limpieza;17,01;;
;3;Tarifa / hora mano de obra otros gremios no baremados;;;
;7;Tarifa / hora mano de obra de ayudante otros gremios no baremados;;;
;11;Material no incluido en baremo de limpieza;;;
;13;Material no incluido en baremo otros gremios no baremados;;;
;120;Desplazamiento 30-45 km ida;18,84;;
;121;Desplazamiento 46-60 km ida;24,05;;
;122;Desplazamiento 61-75 km ida;30,81;;
;123;Desplazamiento más de km 75 ida;50,32;;
;140;Recargo noctuno / festivo;47,00;;
;160;Ud.Alquiler de telesaco;47,70;;
;161;Ud.Alquiler contenedor;122,96;;
;180;Utilización de escalera alta (para trabajos a partir de 5 m de altura);29,27;;
;181;Montaje y desmontaje de andamio propio;33,00;;
;182;Utilización de andamios para trabajos en altura hasta 2 cuerpos (5 metros);90,00;;
;183;Utilización de andamios para trabajos en altura hasta 3 cuerpos (7,5 metros);130,00;;
;184;Utilización de andamios para trabajos en altura hasta 4 cuerpos (10 metros);155,00;;
;185;Utilización de cesta o camión grúa para trabajos en altura;;;
;186;Utilización de plataforma elevadora para trabajos en altura;;;
;187;Recargo peligrosidad trabajos altura en superf. Inestable (tejado/voladizo/cornisa) y sin medios aux (Andamio/escalera);122,20;;
;188;Recargo de peligrosidad para trabajos en altura con medios auxiliares (andamio, escalera, …);56,00;;
;200;Servicio mínimo trabajos verticales;100,00;;
;201;M.O trabajos verticales (días laborables);30,00;;
;202;M.O trabajos verticales (días festivos);50,00;;
;220;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;240;Comparecencia judicial;24,72;;
;260;Tasas, impuestos, licencias;;;
;261;Retirada a punto limpio;;;
;1000;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;1062;Tabicar alicatando hasta 1m2 (no incluye alicatado);60,67;1,00;
Fontanería;;;;
;2000;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;2020;Reparación de tubería con soldadura;47,41;;
;2021;Reparación adicional con soldadura en la misma reparación;8,57;;
;2022;Reparación de tubería con gebo hasta 2;49,11;;
;2023;Reparación de tubería con gebo desde 2;59,47;;
;2024;Reparación de bote sifónico;55,08;;
;2025;Reparación de manguetón / Sustitución de mangueta flexible o excéntrica de inodoro;60,18;;
;2026;Reparación de manguetón con enmasillado;34,60;;
;2027;Reparación de sifón;33,66;;
;2028;Reparación de válvula;36,72;;
;2040;Sustitución de tubería de presión - hasta 1 ml.;71,27;;
;2041;Sustitución de tubería de presión - ml. adicional;22,81;;
;2042;Sustitución de tubería de desagüe - hasta 1 ml.;59,17;;
;2043;Sustitución de tubería de desagüe  - ml. adicional;20,04;;
;2044;Sustitución de T o Y, incluyendo tramos de tubería (presión o desagüe) hasta 2 ml y accesorios necesarios;80,88;;
;2045;Sustitución de juego de latiguillos - Única intervención;30,60;;
;2046;Sustitución de juego de latiguillos  - junto con otra reparación;18,87;;
;2047;Sustitución de llave de escuadra o corte hasta 1;35,19;;
;2048;Sustitución de grifería (sólo mano de obra);30,60;;
;2049;Sustitución de llave y detentor de radiador;35,19;;
;2050;Sustitución de válvula / rebosadero de bañera (tramo de desagüe incluido);61,05;;
;2051;Sustitución de válvula sin rebosadero (tramo de desagüe incluido);45,52;;
;2052;Sustitución de válvula de sanitario o fregadero (tramo de desagüe incluido);39,27;;
;2053;Sustitución manguetón (incluye d/m sanitario);126,99;;
;2054;Sustitución bote sifónico;115,83;;
;2055;Sustitución sifón;36,41;;
