Albañilería;;;;
;ALB1;Tapado en paramento vertical sin alicatado hasta 1m2;;46,00;
;ALB2;Tapado en paramento vertical sin alicatado M adicional;;35,09;
;ALB3;Metro lineal de moldura de escayola;;7,26;
;ALB4;Tapado de hueco con escayola, Hasta 1 m²;;40,70;
;ALB5;Tapado en hueco de escayola m2 adicional;;29,70;
;ALB6;Tapado de hueco tabicando y posterior alicatado,Hasta 1 m²;;49,50;
;ALB7;Tapado de hueco tabicando y posterior alicatado,M² adicional;;41,80;
;ALB8;Tapado de hueco solando, Hasta 1 m²;;52,80;
;ALB9;Tapado de hueco solando, M² adicional;;40,70;
;ALB10;Tapado en techo de Pladur, incluido perfileria, Hasta 1m²;;33,00;
;ALB11;Tapado en techo de Pladur, incluido perfileria, M² adicional;;25,30;
;ALB12;Picado, tendido y enlucido, hasta 1 m²;;16,50;
;ALB13;Picado, tendido y enlucido,  M² adicional;;9,60;
;ALB14;Picado hueco en paramentos verticales con alicatado (m2);;10,90;
;ALB15;Picado hueco en paramentos verticales sin alicatado (m2);;7,50;
;ALB16;Picado hueco en techo de escayola (m2);;7,50;
;ALB17;Picado en suelos con gres o terrazo o similares. m²;;11,70;
;ALB18;Picado en suelos de hormigón. m²;;12,32;
;ALB19;Desmontaje/montaje de primer sanitario(lavabo, bidé, inodoro);;29,70;
;ALB20;Suministro y colocación de placas Armstrong hasta 1 m2;;43,45;
;ALB21;Suministro y colocación de placas Armstrong m2 adicional;;17,60;
;ALB22;Tabicar con placa de yeso laminado incluyendo perfilería de acero y placa hasta 1 M2 - A410;;44,00;
;ALB23;Tabicar con placa de yeso laminado incluyendo perfilería de acero y placa M2 adicional - A420;;38,00;
;ALBMO;Mano de obra. Indicar unidades;;16,50;
;ALBMOA;Mano de obra ayudante Indicar unidades;;13,20;
;ALBIM;Intervención mínima o visita;;23,00;
;PL1;Plato 70 x 70 sin mampara ( aportando nosotros el plato y desague);;180,00;
;PL2;Plato 80 x 80 hasta 100 con o  sin mampara ( aportando nosotros el plato y desague);;250,00;
;PL3;Plato 80 x 120 hasta 160 con o  sin mampara ( aportando nosotros el plato y desague);;300,00;
Fontanería;;;;
;FON1;Siniestro sin cobertura SIN ABRIR CATA (incompatible con otro código);;23,00;
;FON2;Visita sin valoraciónde trabajos UD- VINF;;23,00;
;FON3;Siniestro sin cobertura ABRIENDO CATA (incompatible con otro código);;23,00;
;FON4;Picado en suelos con gres o terrazo o similares. m²;;11,70;
;FON5;Picado hueco en techo de escayola o paramentos verticales m2;;6,80;
;FON6;Picado hueco en paramentos verticales con alicatado (m2);;10,90;
;FON7;Picado hueco en paramentos verticales sin alicatado (m2);;7,50;
;FON8;Picado hueco en techo de escayola (m2);;7,50;
;FON9;Picado en suelos de hormigón. m²;;12,30;
