Albañilería;;;;
;ALB1;Tapado en paramento vertical sin alicatado hasta 1m2;;42,00;
;ALB2;Tapado en paramento vertical sin alicatado M adicional;;31,90;
;ALB3;Metro lineal de moldura de escayola;;6,60;
;ALB4;Tapado de hueco con escayola, Hasta 1 m²;;37,00;
;ALB5;Tapado en hueco de escayola m2 adicional;;27,00;
;ALB6;Tapado de hueco tabicando y posterior alicatado,Hasta 1 m²;;49,50;
;ALB7;Tapado de hueco tabicando y posterior alicatado,M² adicional;;38,00;
;ALB8;Tapado de hueco solando, Hasta 1 m²;;48,00;
;ALB9;Tapado de hueco solando, M² adicional;;37,00;
;ALB10;Tapado en techo de Pladur, incluido perfileria, Hasta 1m²;;30,00;
;ALB11;Tapado en techo de Pladur, incluido perfileria, M² adicional;;23,00;
;ALB12;Picado, tendido y enlucido, hasta 1 m²;;15,00;
;ALB13;Picado, tendido y enlucido,  M² adicional;;8,75;
;ALB14;Picado hueco en paramentos verticales con alicatado (m2);;9,90;
;ALB15;Picado hueco en paramentos verticales sin alicatado (m2);;6,80;
;ALB16;Picado hueco en techo de escayola (m2);;6,80;
;ALB17;Picado en suelos con gres o terrazo o similares. m²;;10,60;
;ALB18;Picado en suelos de hormigón. m²;;11,20;
;ALB19;Desmontaje/montaje de primer sanitario(lavabo, bidé, inodoro);;27,00;
;ALB20;Suministro y colocación de placas Armstrong hasta 1 m2;;39,50;
;ALB21;Suministro y colocación de placas Armstrong m2 adicional;;16,00;
;ALB22;Tabicar con placa de yeso laminado incluyendo perfilería de acero y placa hasta 1 M2 - A410;;40,00;
;ALB23;Tabicar con placa de yeso laminado incluyendo perfilería de acero y placa M2 adicional - A420;;34,65;
;ALBMO;Mano de obra. Indicar unidades;;15,00;
;ALBMOA;Mano de obra ayudante Indicar unidades;;12,00;
;ALBIM;Intervención mínima o visita;;20,92;
;PL1;Plato 70 x 70 sin mampara ( aportando nosotros el plato y desague);;180,00;
;PL2;Plato 80 x 80 hasta 100 con o  sin mampara ( aportando nosotros el plato y desague);;250,00;
;PL3;Plato 80 x 120 hasta 160 con o  sin mampara ( aportando nosotros el plato y desague);;300,00;
Fontanería;;;;
;FON1;Siniestro sin cobertura SIN ABRIR CATA (incompatible con otro código);;20,92;
;FON2;Visita sin valoraciónde trabajos UD- VINF;;20,92;
;FON3;Siniestro sin cobertura ABRIENDO CATA (incompatible con otro código);;20,92;
;FON4;Picado en suelos con gres o terrazo o similares. m²;;10,60;
;FON5;Picado hueco en techo de escayola o paramentos verticales m2;;6,20;
;FON6;Picado hueco en paramentos verticales con alicatado (m2);;9,90;
;FON7;Picado hueco en paramentos verticales sin alicatado (m2);;6,80;
;FON8;Picado hueco en techo de escayola (m2);;6,80;
;FON9;Picado en suelos de hormigón. m²;;11,20;
;FON10;Mano de obra oficial;;15,00;
;FON11;Mano de obra ayudante;;12,00;
;FON12;Reparacion tuberia con soldadura o gebo en tuberias generales y privativas;;35,90;
;FON13;Sustitución tubería alimentación/desagüe cobre/pvc hasta 1m;;43,30;
;FON14;Sustitución tubería alimentación/desagüe cobre/pvc ml adicional;;14,00;
;FON15;Sustitucion de tuberia polietileno o similar hasta 40mm 1ml con piezas de union;;69,00;
;FON16;Sustitucion de tuberia polietileno o similar ml adicional;;25,00;
;FON17;Sustitucion de tuberia Multicapa, wirsbo hasta 1ml;;69,00;
;FON18;Sustitucion de latiguillo.;;22,00;
;FON19;Reparacion de valvula de bañera;;24,00;
;FON20;Sustitución de válvula bañera/plato de ducha;;31,98;
;FON21;Sustitución de válvula de bañera/plato de ducha incluyendo tramo de desagüe;;38,00;
;FON22;Vaciado, llenado y pulgado de circuito de calefacción.;;26,00;
;FON23;Desatranco manual con medios mecanicos;;27,65;
;FON24;Desatranco con máquina a presion;;39,00;
;FON25;Sustitución de manguetón, incluido d/m wc;;82,50;
;FON26;Reparación de manguetón ( incluye d/m wc);;58,50;
;FON27;Sustitución bajante 125 hasta 3ml;;81,00;
;FON28;Sustitución de codo bajante general hasta 125;;51,00;
;FON29;Sustitucion de injerto Y de bajante (incluye 1er metro tuberia);;73,20;
;FON30;Desmontaje/montaje de primer sanitario(lavabo, bidé, inodoro);;39,00;
;FON31;Desmontaje/montaje sanitario adicional;;29,00;
;FON32;Desmontaje/montaje de radiador 1a unidad;;25,00;
;FON33;Desmontaje/montaje de radiador  UD adicional;;22,00;
;FON34;Tapado en paramento vertical sin alicatado hasta 1m2;;44,20;
;FON35;Tapado hueco en techo escayola hasta 1m2;;44,20;
;FON36;Tapado en paramento vertical con alicatado hasta 1m2;;49,52;
;FON37;Tapado hueco, solado de gres, terrazo, etc hasta 1m2;;43,70;
;FON38;Video peritación;;20,92;
;FON39;Desmontaje/montaje de mueble de cocina;;25,00;
;FON40;Desmontaje/montaje de mueble de cocina rinconero;;25,00;
;FON41;Desmontaje de mueble de baño hasta 120 (encimera, pica y griferia);;25,00;
;FON42;Montaje de mueble de baño hasta 120 (encimera, pica y griferia);;25,00;
;FON43;Sustitucion de sifon;;28,00;
;FON44;Servicio de mantenimiento, precio único por servicio;;36,00;
Electricidad;;;;
;ELE1;Siniestro sin cobertura SIN REALIZAR TRABAJOS (incompatible con otro código);;20,92;
;ELE2;Revisión Instalación Eléctrica;;31,25;
;ELE3;Reparación de cortocircuito (restableciendo suministro electrico);;37,50;
;ELE4;Sustitución de Magnetotérmico hasta 2x25A;;45,00;
;ELE5;Sustitución de Diferencial hasta 2x40A;;62,50;
;ELE6;Cambio de linea general hasta 6mm2;;6,25;
;ELE7;Punto de luz simple (enchufe, TV, FM) con mecanismo gama media;;21,25;
;ELE8;Interruptor simple con mecanismo gama media;;35,00;
;ELE9;Interruptor conmutado/cruce con mecanismo gama media;;38,00;
;ELEMO;Mano de obra. Indicar unidades.;;15,00;
;ELEIM;Intervención mínima o visita;;20,92;
Pinturas;;;;
;PIN1;Plástico liso hasta 10 m²;;39,38;
;PIN2;Plástico liso hasta , M² adicional;;2,81;
;PIN3;Gotelé plástico hasta 10 m² acabado plastico;;53,75;
;PIN4;Gotelé plástico , M² adicional acabado plastico;;3,13;
;PIN5;Esmalte hasta 10 m²;;60,00;
;PIN6;Esmalte hasta , M² adicional;;4,00;
;PIN7;Intervención mínima o visita;;20,92;
;PIN8;Mano de obra. Indicar unidades;;15,00;
;PIN9;Mano de obra ayudante Indicar unidades;;12,00;
;PIN10;Picado, tendido y enlucido, hasta 1 m²;;15,00;
;PIN11;Picado, tendido y enlucido,  M² adicional;;8,75;
Bricos;;;;
;BRI1;Visita sin intervención;;17,00;
;BRI2;Mano de obra BRICOCASER 2H;;27,50;
;BRI3;Mano de obra BRICOCASER 3H;;39,40;
BRICOS AGUA;;;;
;BRI1;Visita sin intervención;;17,00;
;BRI2;Mano de obra BRICOCASER 2H;;27,50;
;BRI3;Mano de obra BRICOCASER 3H;;39,40;
BRICOS LUZ;;;;
;BRI1;Visita sin intervención;;17,00;
;BRI2;Mano de obra BRICOCASER 2H;;27,50;
;BRI3;Mano de obra BRICOCASER 3H;;39,40;
BRICOS PERSIANA;;;;
;BRI1;Visita sin intervención;;17,00;
;BRI2;Mano de obra BRICOCASER 2H;;27,50;
;BRI3;Mano de obra BRICOCASER 3H;;39,40;
BRICOS MULTIGREMIO;;;;
;BRI1;Visita sin intervención;;17,00;
;BRI2;Mano de obra BRICOCASER 2H;;27,50;
;BRI3;Mano de obra BRICOCASER 3H;;39,40;
